旧	新	注释
平常吃的八百日元	平常吃的八千日元	原文「八〇〇〇円」，同上
九十九％	九十九%	同一行内 50%/0% 均为半角，百分号全半角混用
仅仅一％	仅仅一%	同上
无论如何想跟美琴谈一谈	无论如何都想跟美琴谈一谈	原文「今はとにかく美琴に話を聞きたいので」；「无论如何」后缺「都」
都是老大姐	都是大姐头	原文「リーダーシップ使いまくり」「常にリーダーであり続けるお姉様」；「老大姐」指年长女性，用于 14 岁的美琴不贴（788/789 两行）
布偶熊的单边眼睛戴了眼带	布偶熊的单边眼睛戴了眼罩	原文「片目を眼帯で隠し」；「眼带」为日语「眼帯」直接残留
很明显的，这拉链	很明显地，这拉链	状语「地」误作「的」；卷内他处状语均用「地」
一页一页的翻过去	一页一页地翻过去	同上
飘着飞艇。飞艇腹部	飘着飞船。飞船腹部	原文「飛行船」；卷内定译「飞船」（10 处），飞艇仅 3 处
夕阳下的飞艇	夕阳下的飞船	同上
那就是飞艇上	那就是飞船上	同上；且与 981 行回忆引文「我超讨厌那艘飞船」呼应
本来的用途是借由电力来让环绕着线圈的轴承旋转	本来的用途是借由电力来让线圈所环绕的转轴旋转	原文「本来電気を使って回すはずのコイルの軸を」；线圈与轴的包围关系译反，且「軸」（转轴）误作「轴承」
但是如果以人力的方式转动轴承	但是如果以人力的方式转动转轴	同上
也会让轴承开始旋转	也会让转轴开始旋转	同上
今晚是上弦月	今晚是月牙	原文「今宵は三日月」；三日月为月牙，与下文「細い月」「針のように細い」相合，上弦月为半月自相矛盾
像针一般细的弦月光芒	像针一般细的月牙光芒	原文「針のように細い三日月」
常盘台中学的特等生	常盘台中学的特待生	原文「常盤台中学の特待生」；「待→等」形近误字
我就是七大奇迹之一	我就是七大不可思议之一	原文「七不思議の一つ」；七不思議 卷内定译「七大不可思议」（597 行前半、598 行注音）
学园都市七大奇迹传说	学园都市七大不可思议传说	原文此处为「都市伝説」，与 598 行「都市传说（七大不可思议）」同一所指，命名统一
所谓的七大奇迹	所谓的七大不可思议	原文「七不思議、と呼ぶには」
她的雷击之枪发出不去	她的雷击之枪发不出去	词序颠倒不成句；原文「雷撃の槍なんて撃てなかった」
「我不会退开！」	「我不会让开！」	原文两处均作『どかない』；与 415 行「我不会让开」及 245 行少年台词「我不让开」统一
已被名为觉悟的剪刀剪断	已被某种类似死心的东西剪断	原文「諦めに似た何かが美琴の中にあった細い糸をブツリと断ち切った」；諦め=死心/断念而非「觉悟」，「剪刀」意象原文所无
就跟堆在架子上的拍卖品没什么不同了	就跟丢进促销花车筐里的甩卖品没什么不同了	原文「ワゴンセールのカゴの中に放り込まれる」；语境是廉价甩卖，「拍卖品」方向相反
宛如是片覆盖世界的黑暗	宛如一片覆盖而来的黑暗	「是片」应为「一片」；原文「覆い被さる闇」并无「世界」
最强、最行、最厉害	最强、最高、最厉害	原文「最強だろうが最高だろうが最良だろうが」三项并列，「最行」与「最高」不对应
『——原来是妹妹啊！真像呢！身高体重应该也差不多吧？』	『——原、原来是你妹妹啊，真像呢。身高体重应该也差不多吧？』	原文两处逐字相同（そ、そっか妹か…）；与第一章 182 行原句逐字统一
在空气中气化的煤气	在空气中汽化的汽油	原文「空気中に気化したガソリン」；ガソリン=汽油，煤气本身即气体无从「气化」
<rt>Censor</rt>	<rt>Sensor</rt>	原文「快楽を脳へ伝える器官センサー」；注音拼写错误（Censor=审查员）
连核弹爆发都能挡下	连核弹爆炸都能挡下	原文「核爆発」；炸弹类用「爆炸」，「爆发」用于火山/战争等
发电机的电机如果暴露在微电波之中	发电机的电机如果暴露在微波之中	原文「マイクロ波」；「微电波」非规范词，与同卷第二章「微波发电系统」统一
以简单易懂的现代白话文加以说明	以简单易懂的现代假名拼写法加以说明	原文「分かりやすい現代カナ遣い」（现代假名拼写法），「白话文」概念错置
高𣆥京一郎	高畑京一郎	原文「高畑京一郎」；「𣆥」（U+232A5 扩展B区）生僻字形应为「畑」
再一次，茵蒂克丝又重复说了一次。	茵蒂克丝又重复说了一次。	原文「もう一度、インデックスは重ねて言った」仅两层重复义；「再一次/又/重复/了一次」三重赘余
右手的苦手空虚地划过上条的头顶	右手的苦手徒劳地掠过上条的头顶	原文「右の苦手が虚しく頭上を通り過ぎ」；虚しく=徒劳/落空，「空虚地」词义偏向「空洞」
因角度的关系，从上条的位置看不见黑猫	因角度关系，从上条的位置看不见黑猫	规则回归压回：_common 删「的关系」致「因角度」不成句（原文「角度的に」）；改写「角度关系」避免通用规则再次命中
让研究员们认为	让研究者们认为	原文「研究者達」；卷内统一为「研究者」（本章 L195-224 及他处多数写法），78/98 两行同改
让研究员们目睹	让研究者们目睹	同上
研究员们难道	研究者们难道	同上
研究员们也会	研究者们也会	同上
研究员们可能	研究者们可能	同上
研究员们还会	研究者们还会	同上
研究员只是照着执行	研究者只是照着执行	同上
三流研究员	三流研究者	同上
骗过研究员，	骗过研究者，	同上（704/710 两行同改）
研究人员只要进行	研究者只要进行	同上
伟大的研究人员眼中	伟大的研究者眼中	同上
让研究人员相信	让研究者相信	同上
