旧	新	注释
而这也是金发女子最强的优势	而这也是金发女人最强的优势	金髪の女の最大の強み；卷内主导译法「金发女人」10处
金发女子则是笑得开心	金发女人则是笑得开心	金髪の女；同上
除了金发女子所在通道以外	除了金发女人所在通道以外	金髪の女；同上
金发女性却似乎没有特别的感慨	金发女人却似乎没有特别的感慨	金髪の女は特に感慨も持たず；同上
一声撼动整个地下街的震动。	伴随着一声巨响、撼动整个地下街的震动。	ズシン!!という地下街全体を揺るがす震動；「一声…震动」量词不搭
感觉全身正在一把巨大的锉刀上研磨	感觉全身像被一把巨大的锉刀研磨	まるで巨大なヤスリに全身を削られたような痛み；缺被动标记
悬浮着一颗类似磁铁般的小东西	悬浮着一颗小东西，仿佛被磁铁固定住一般	磁石でも使っているように小さな物体が浮かんでいた；「用磁铁」是状语非物体定语
石像的身高约四米多	石像的身高四米多	四メートル強（确定的四米出头）；「约」与「多」重复矛盾
整个地盘像弹簧垫一样摆动	整个地面像弹簧垫一样摆动	トランポリンのように地盤が揺らぎ；此处地盤=地面（第一章31行「地盘坐」不涉）
由于重心的关系，根本不可能做出回避动作	由于重心位置，根本不可能做出回避动作	重心の関係上；_common 154 删「的关系」致「由于重心」读不通，分卷压回（新串避开删除模式）
随便，是谁都好。反正也不见得一定要杀那个丫头。	随便，谁都好。反正也不见得一定要杀那个丫头。	別に何でも良いのよ、何でも；与97行初出场文字逐字对齐
该选哪个好呢？	该选哪个好？	どれがいいかしら；与第二章409行初出场文字逐字对齐
可以同时满足这两件互相矛盾的事	可以同时做到这两件互相矛盾的事	「满足」与「事」搭配不当
在世界的尽头，终于能够获得接纳的栖身之处，往黑暗的深渊不断下坠。	从世界的尽头、终于能够获得接纳的栖身之处，往黑暗的深渊不断下坠。	ようやく自分の存在を認めてもらえた居場所から、さらに深い底へと；漏译表起点的「から」，方向关系断裂
过去自己所欠缺的那具齿轮	过去自己所欠缺的那个齿轮	量词「具」不用于齿轮
少数几具几乎快熄灭的照明灯	少数几盏几乎快熄灭的照明灯	量词「具」不用于灯（X侧含「几乎」，Y侧既有规则已删，按管道终态生效）
而且还不止一、两具。	而且还不止一、两盏。	探照灯量词用「盏」
边娇喘边怒吼的少女	边喘气边怒吼的少女	荒い息を吐くお怒り少女；「娇喘」带暧昧色彩，用词不当
想要逃离茵蒂克丝的手腕	想要逃离茵蒂克丝的怀抱	腕の中から逃れる；腕の中=怀抱，非手腕关节
或许那个带有伦敦风格的魔法师就躲在地下	或许那个师承伦敦的魔法师就躲在地下	ロンドン仕込みらしき魔術師；仕込み=师承/出身，用于人不作「风格」
明白了吗——艾利丝！	明白了吗？——艾利丝！	ね？───エリス；第三章114/786行均有问号，回忆引文逐字对齐
危险已经迫在眉梢	危险已经迫在眉睫	成语「迫在眉睫」（睫=睫毛）同音误字
就像敲碎冰冻的水渍一样	就像敲碎结冰的水洼一样	凍のった水溜を砕くように；水溜=水洼，「水渍」无法敲碎
摧毁艾利丝九十％以上的肉体	摧毁艾利丝百分之九十以上的肉体	エリスの肉体の九〇％以上；与第一章「百分之四十」体例统一
不到三十秒之间，长宽皆已增大两倍	不到三十秒，长宽皆已增大到近两倍	ものの三〇秒も経たない内に縦横ともに二倍近く増大していた；「不到…之间」不搭；二倍近く=增至近两倍
在明知再生系统产生错误，及无法自救的前提下持续运转	在明知再生机能发生故障，及终将自我崩坏的前提下持续运转	再生機能の誤作動と自己崩壊を承知で動いている；自己崩壊≠无法自救；并与585行统一「再生机能」
让石巨人的再生能力失控了	让石巨人的再生机能失控了	ゴーレムの再生機能が暴走；统一「再生机能」
毫无据点觉得	毫无根据地觉得	根拠もないのに；「据点」系「根据」之误（本卷他处均作毫无根据）
那大约一万名人工能力者	那大约一万名人造能力者	人造能力者；与102行统一
似乎坐得有点沉不住气	似乎有点沉不住气	「坐得沉不住气」句式杂糅（坐不住/沉不住气混用）
