旧	新	注释
发布了第二级橙色警戒	发布了<ruby>第二级警戒<rt>Code Orange</rt></ruby>	原文「第二級警報（コードオレンジ）」；与全系列体例统一（本卷 372 行及 S1_14/S2_05/S3_02/S3_08 均作 <ruby>第二级警戒<rt>Code Orange</rt></ruby>）
「伪书」或「手抄本」	「伪典」或「抄本」	日文同为 偽書/写本（part0041:316/319），与 512 行「伪典(复制品)/抄本(Copy)」统一
让自己满目疮痍	让自己满身疮痍	满目疮痍对象为场所；原文「この身が傷つき」=遍体鳞伤
你也不愿放弃的话	你也想向她伸出手的话	原文「手を差し伸べたかったんでしょう」=想伸出援手，非「不愿放弃」
你更不应该依赖这种污秽的魔道书	你就不该依赖这种污秽的魔道书	原文「だったらダメだよ」无比较级「更」
动作实在太啰嗦了	动作实在太费事了	原文「もどかしく」=慢得令人着急；啰嗦形容言语繁复
弓弦还没获得解放	弓弦还没被释放	原文「弦が解き放たれる前に」；解放为日语汉字词搬用
飘浮在空中的月色	飘浮在空中的月亮	原文「天上に浮かぶ月」=月亮本身；月色指月光/景色
或许他是开发出一种新的手术法	或许他是开发出了一种新的手术法	成分残缺补「了」；原文「新しい手術法でも編み出したのかもしれない」
唯一一架实验机型	唯一一台实验机型	量词：生命维持装置应用「台」
正当防卫及紧急避难行为	正当防卫及紧急避险行为	中文刑法术语为「紧急避险」；原文「緊急回避」，译注（note17）按刑法概念解释
是将电击hp	是由电击hp	「将……所构成的」句式杂糅，改「由……构成」
能够出了五卷的书，全是多亏各位的爱戴	能够出了五卷的书，全是多亏各位的厚爱	爱戴用于敬爱拥护之人；作者谢读者宜用厚爱；原文「貴方達のおかげ」。S1_06 后记同句留待该卷校对
在心中庆幸这本书受到您的青睐时，	在心中感谢这本书受到您的青睐，	原文「感謝しつつ」=怀着感激（同时进行），庆幸≠感谢、「时」误译「つつ」
为您带来一些生活上的小乐趣	为您带来一些助益	原文「何らかの足しになる事」=有所助益
