旧	新	注释
那是一种名叫「令刀」，是日本神道在祈雨仪式中所使用，长度超过两米的日本刀。	那是一种名叫「令刀」的日本刀，是日本神道在祈雨仪式中所使用的，长度超过两米。	句式杂糅：「名叫……，是……」两套结构混用；原文「『令刀』と呼ばれる…日本刀」单一修饰结构
如果把她带去日本的「英国式教会」	如果把她带去日本的「英国教会」	原文 イギリス教会，与本章 L799「英国教会」统一；「式」字为衍
某栋混居公寓的屋顶	某栋杂居大楼的屋顶	原文「雑居ビルの屋上」：雑居ビル＝各色租户混驻的大楼，非住宅公寓
如同电池没电了摔倒在地	如同电池没电了一般摔倒在地	「如同……」后缺「一般」
茵蒂克丝没说出任何想法，只是微微笑着	茵蒂克丝说了句不知算是好还是算坏的话，微微笑了笑	原文「良いのか悪いのか良く分からない事を言ってインデックスは小さく笑った」，呼应上句双关
她站起身来，举起双手，如同背负着罪恶的十字架一般	她站起身来，张开双臂，如同背负着罪恶的十字架一般	原文「立ち上がり、両手を広げ、まるで罪を背負う十字架のように」：広げ＝张开（十字架意象）
很想举起双手让自己变成茵蒂克丝的护盾	很想张开双手让自己变成茵蒂克丝的护盾	原文「両手を広げてインデックスの盾に」同上；与 L347「张开的双手」统一
茵蒂克丝最重要朋友的两名魔法师	茵蒂克丝最重要的朋友的两名魔法师	缺结构助词「的」
如同看破了一切，露出非常伤心的笑容	仿佛彻底死了心，露出非常伤心的笑容	原文「何かを諦めたような、ものすごく辛そうな笑み」：諦めた＝放弃、死心，非「看破」
不再是以朋友的身份看着茵蒂克丝的眼神，而是身为魔法师的冰冷眼神。	但马上又像被按下了开关似的，眼神冻结了。	与下一行互换以还原原文语序（笑み→スイッチが入ったように瞳が凍った→魔術師という凍える視線）；原句「再度」无依据且与下行重复
但是马上又像切换开关似的，眼神再度变得冰冷。	不再是以朋友的身份看着茵蒂克丝的眼神，而是身为魔法师的冰冷眼神。	与上一行互换，见上条注释
距离最后时限	距离终局	原文裸 リミット，与本章「终局（Limit）」统一（另 L338、L374 同）
听不懂「最后时限」的意思	听不懂「终局」的意思	同上
那孩子的最终时限是在今晚零时	那孩子的终局是在今晚零时	同上；原文「あの子のリミットは今夜午前零時です」
被眼泪与安心感占据的表情	被眼泪与安心占据的表情	原文「涙と安堵でボロボロになった」：安堵＝安心（如释重负）；X 本作安心感本不误，此条同时防止 _common「安心感→安全感」在此误改
看着她那张嘴睡着的模样	看着她张着嘴睡着的模样	漏字：应为「张着嘴」
你们这些家伙大体上都是魔法师吧	我说啊，你们这些家伙不都是魔法师吗	原文「大体テメェらは魔術師なんだろ」：句首 大体 是表不耐烦的感叹词（我说啊），非「大体上」
只有一天的时间，或许什么都做不到	连一天的时间都不到了，或许什么都做不到	原文「たった一日も時間がない」＝连一天都不到了
倒在榻榻米上啤酒罐的阴暗处	倒在榻榻米上的啤酒罐的阴暗处	缺结构助词「的」
更幸福地重获新生方法	更幸福地重获新生的方法	缺结构助词「的」
上条说出来的话，完全无法打动他。	即使如此，史提尔·马格努斯依然连眉毛都没动一下。	与下一行互换以还原原文语序（それでもなお眉一つ動かさなかった→一ミリも響いていなかった）；原序「即使如此」无所承接
即使如此，史提尔·马格努斯依然不为所动。	上条说出来的话，完全无法打动他。	与上一行互换，见上条注释
艰苦无比的笑容	破碎不堪的笑容	原文「ボロボロの笑顔」＝破碎、强撑的笑容；「艰苦」与「笑容」搭配不当
囫囵吞枣就这么信了	就这么囫囵吞枣地信了	状语缺「地」，语序调整
在茵蒂克丝的脖子套上项圈	在茵蒂克丝的脖子上套上项圈	缺「上」（本卷 L267 同语有「上」）
如同像是得了热病	如同得了热病	「如同」「像是」同义赘余；本章他处均作「如同患了热病」
将她的嘴剥开	将她的嘴掰开	形近误字：用手指撬开应为「掰开」
自己会妨碍恢复魔法进行而被迫离开公寓时	自己被说成妨碍恢复魔法而被迫离开公寓时	原文「回復魔法の邪魔だと言われてアパートを飛び出した時」：被动「被说成妨碍」，主体与「会」字时态均需修正
就触摸它吧	就试着消除啊	与 L90 同一台词「就试着消除啊」统一；原文两处均为 消してみろ（よ）＝消除
Salvare000!!	Salvare000！！	句末叹号应全角（对照 L427「Fortis931！」）
我估计大概会炸掉你那自豪的右手一根手指头吧	就炸飞你那自豪的右手一根手指头好了	原文「指一本ぐらい吹っ飛ばしておきたまえ」为命令形（惩罚宣言），非「我估计……吧」推测
「你们这些朋友会不会太扯了一点？	「你的这些朋友会不会太扯了一点？	原文「なかなか過激なお友達だね」：青蛙脸医生对茵蒂克丝说「你的这些朋友」
用非常带有深意的口吻说道	饶有兴味地说道	原文「本当に面白そうに言った」＝觉得有趣，非意味深长
（虽然她自己毫无自觉有过这回事）	（虽然她自己完全不记得有这回事）	句式杂糅；原文「彼女は全く覚えていない」
表情空洞的少年带着不安的表情完全消失，宛如改头换面	少年脸上那带着不安的空洞表情完全消失，宛如改头换面	原文「不安そうな顔が消えている」：消失的主语是表情而非少年
因为茵蒂克丝现在的表情，可真是满头的黑直线。	因为茵蒂克丝现在的表情，完全是一脸呆相。	原文「それぐらい間抜けな顔になっている」只作呆相；「黑直线」系自创画面且写法生硬
神所创造出来的现实，是多么的残酷，根本不敢让少女知道。	神所创造出来的现实，残酷到已经说给了一个少女听。	原文「一人の少女に話して聞かせたほど、神様の作った現実は優しくも温かくもなかった」：现实残酷到已讲给少女听，译文方向相反且与本章情节矛盾
就好像阅读别人的日记一样，一点意义都没有。	那就跟阅读别人的日记没有任何两样。	原文「他人の日記を読んでいるのと何も変わらない」＝毫无两样（没有区别），非「没有意义」
就好像整颗硬盘烧坏了一样	就好像整块硬盘烧坏了一样	简体硬盘量词通行「块」
实际应为二百三十万人口	实际应为两百三十万人口	译注页数字写法与正文统一（「两百三十万」）
